@RELATION ARFF_TRAINING

@ATTRIBUTE word STRING
@ATTRIBUTE commonfirstname1 {T, F}
@ATTRIBUTE commonlastname1 {T, F}
@ATTRIBUTE dictionaryfeature1 {T, F}
@ATTRIBUTE killword1 {T, F}
@ATTRIBUTE honorific1 {T, F}
@ATTRIBUTE location1 {T, F}
@ATTRIBUTE prefix1 {T, F}
@ATTRIBUTE suffix1 {T, F}
@ATTRIBUTE authorfirstname1 {T, F}
@ATTRIBUTE authorlastname1 {T, F}
@ATTRIBUTE partofspeech1 {period, comma, hyphen, conjunction, article, other}
@ATTRIBUTE lexicalfeature1 {number, punct, CapLetter, capitalized, AllCaps}
@ATTRIBUTE commonfirstname2 {T, F}
@ATTRIBUTE commonlastname2 {T, F}
@ATTRIBUTE dictionaryfeature2 {T, F}
@ATTRIBUTE killword2 {T, F}
@ATTRIBUTE honorific2 {T, F}
@ATTRIBUTE location2 {T, F}
@ATTRIBUTE prefix2 {T, F}
@ATTRIBUTE suffix2 {T, F}
@ATTRIBUTE authorfirstname2 {T, F}
@ATTRIBUTE authorlastname2 {T, F}
@ATTRIBUTE partofspeech2 {period, comma, hyphen, conjunction, article, other}
@ATTRIBUTE lexicalfeature2 {number, punct, CapLetter, capitalized, AllCaps}
@ATTRIBUTE commonfirstname3 {T, F}
@ATTRIBUTE commonlastname3 {T, F}
@ATTRIBUTE dictionaryfeature3 {T, F}
@ATTRIBUTE killword3 {T, F}
@ATTRIBUTE honorific3 {T, F}
@ATTRIBUTE location3 {T, F}
@ATTRIBUTE prefix3 {T, F}
@ATTRIBUTE suffix3 {T, F}
@ATTRIBUTE authorfirstname3 {T, F}
@ATTRIBUTE authorlastname3 {T, F}
@ATTRIBUTE partofspeech3 {period, comma, hyphen, conjunction, article, other}
@ATTRIBUTE lexicalfeature3 {number, punct, CapLetter, capitalized, AllCaps}
@ATTRIBUTE commonfirstname4 {T, F}
@ATTRIBUTE commonlastname4 {T, F}
@ATTRIBUTE dictionaryfeature4 {T, F}
@ATTRIBUTE killword4 {T, F}
@ATTRIBUTE honorific4 {T, F}
@ATTRIBUTE location4 {T, F}
@ATTRIBUTE prefix4 {T, F}
@ATTRIBUTE suffix4 {T, F}
@ATTRIBUTE authorfirstname4 {T, F}
@ATTRIBUTE authorlastname4 {T, F}
@ATTRIBUTE partofspeech4 {period, comma, hyphen, conjunction, article, other}
@ATTRIBUTE lexicalfeature4 {number, punct, CapLetter, capitalized, AllCaps}
@ATTRIBUTE commonfirstname5 {T, F}
@ATTRIBUTE commonlastname5 {T, F}
@ATTRIBUTE dictionaryfeature5 {T, F}
@ATTRIBUTE killword5 {T, F}
@ATTRIBUTE honorific5 {T, F}
@ATTRIBUTE location5 {T, F}
@ATTRIBUTE prefix5 {T, F}
@ATTRIBUTE suffix5 {T, F}
@ATTRIBUTE authorfirstname5 {T, F}
@ATTRIBUTE authorlastname5 {T, F}
@ATTRIBUTE partofspeech5 {period, comma, hyphen, conjunction, article, other}
@ATTRIBUTE lexicalfeature5 {number, punct, CapLetter, capitalized, AllCaps}
@ATTRIBUTE classification INTEGER

@data
'!', , F, F, F, F, F, F, F, F, F, F, other, other, , F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, F, F, F, F, F, F, F, F, hyphen, punct, 0
'-', , F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, T, F, F, F, F, F, T, F, other, other, 0
'-', F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, T, F, F, F, F, F, T, F, other, other, F, F, F, F, F, F, F, F, F, F, other, number, 0
'r', F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, T, F, F, F, F, F, T, F, other, other, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, hyphen, punct, 0
'1', F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, T, F, F, F, F, F, T, F, other, other, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, F, F, F, F, F, F, F, F, other, punct, 0
'-', F, F, T, F, F, F, F, F, T, F, other, other, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, F, F, other, CapLetter, 0
'(', F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, F, F, other, CapLetter, F, F, F, F, F, F, F, F, F, F, hyphen, punct, 0
'N', F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, F, F, other, CapLetter, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, F, F, F, F, F, F, F, F, other, number, 0
'-', F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, F, F, other, CapLetter, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, 0
'1', F, F, T, F, F, F, F, F, F, F, other, CapLetter, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, 0
')', F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, other, 0
'+', F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, F, F, other, CapLetter, 0
'$2', F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, F, F, other, CapLetter, F, F, F, F, F, F, F, F, F, F, hyphen, punct, 0
'N', F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, F, F, other, CapLetter, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, F, F, F, F, F, F, F, F, other, number, 0
'-', F, F, F, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, F, F, other, CapLetter, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, 0
'1', F, F, T, F, F, F, F, F, F, F, other, CapLetter, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, , F, F, F, F, F, F, F, F, F, F, other, other, 0
')', F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, F, F, F, F, F, F, F, F, other, number, F, F, F, F, F, F, F, F, F, F, other, punct, , F, F, F, F, F, F, F, F, F, F, other, other, , F, F, F, F, F, F, F, F, F, F, other, other, 0
' ', F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, 0
'"', , F, F, F, F, F, F, F, F, F, F, other, other, , F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, , F, F, F, F, F, F, F, F, F, F, other, other, 0
'*', , F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, punct, , F, F, F, F, F, F, F, F, F, F, other, other, , F, F, F, F, F, F, F, F, F, F, other, other, 0
' ', F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, 0
'"', , F, F, F, F, F, F, F, F, F, F, other, other, , F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
'China's', , F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, conjunction, other, 0
'Pursuit', F, F, F, F, F, F, F, F, F, F, other, punct, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, conjunction, other, F, T, F, F, F, F, F, F, F, F, other, capitalized, 0
'for', F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, conjunction, other, F, T, F, F, F, F, F, F, F, F, other, capitalized, F, T, F, F, F, F, F, F, F, F, other, capitalized, 0
'World', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, conjunction, other, F, T, F, F, F, F, F, F, F, F, other, capitalized, F, T, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
'Power', F, F, T, F, F, F, F, F, F, F, conjunction, other, F, T, F, F, F, F, F, F, F, F, other, capitalized, F, T, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, punct, 0
'Status', F, T, F, F, F, F, F, F, F, F, other, capitalized, F, T, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
':', F, T, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, T, article, other, 0
'Is', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, T, article, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
'the', F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, T, article, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, other, other, 0
'Transformation', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, T, article, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, other, other, F, F, T, F, F, F, F, F, T, T, article, other, 0
'of', F, F, T, F, F, F, F, F, T, T, article, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, other, other, F, F, T, F, F, F, F, F, T, T, article, other, , F, F, F, F, F, F, F, F, F, F, other, other, 0
'the', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, other, other, F, F, T, F, F, F, F, F, T, T, article, other, , F, F, F, F, F, F, F, F, F, F, other, other, , F, F, F, F, F, F, F, F, F, F, other, other, 0
' ', F, F, T, F, F, F, F, F, T, T, article, other, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, 0
'"', , F, F, F, F, F, F, F, F, F, F, other, other, , F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, conjunction, capitalized, F, F, F, F, F, F, F, F, F, F, comma, punct, 0
'Now', , F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, conjunction, capitalized, F, F, F, F, F, F, F, F, F, F, comma, punct, F, F, T, F, F, F, F, F, F, F, other, capitalized, 0
',', F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, conjunction, capitalized, F, F, F, F, F, F, F, F, F, F, comma, punct, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, other, 0
'I'll', F, F, F, F, F, F, F, F, F, F, conjunction, capitalized, F, F, F, F, F, F, F, F, F, F, comma, punct, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, other, F, T, T, F, F, F, F, F, F, T, other, other, 0
'manage', F, F, F, F, F, F, F, F, F, F, comma, punct, F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, other, F, T, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, F, F, other, other, 0
'better', F, F, T, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, F, F, other, other, F, T, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, T, F, F, F, T, other, other, 0
'this', F, F, T, F, F, F, F, F, F, F, other, other, F, T, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, T, F, F, F, T, other, other, F, F, F, F, F, F, F, F, F, F, period, punct, 0
'time', F, T, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, T, F, F, F, T, other, other, F, F, F, F, F, F, F, F, F, F, period, punct, F, F, F, F, F, F, F, F, F, F, other, punct, 0
'.', F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, T, F, F, F, T, other, other, F, F, F, F, F, F, F, F, F, F, period, punct, F, F, F, F, F, F, F, F, F, F, other, punct, T, T, T, F, F, T, F, F, F, F, other, capitalized, 0
'"', F, F, T, F, F, T, F, F, F, T, other, other, F, F, F, F, F, F, F, F, F, F, period, punct, F, F, F, F, F, F, F, F, F, F, other, punct, T, T, T, F, F, T, F, F, F, F, other, capitalized, T, T, T, F, F, T, F, F, T, T, other, other, 0
'Alice', F, F, F, F, F, F, F, F, F, F, period, punct, F, F, F, F, F, F, F, F, F, F, other, punct, T, T, T, F, F, T, F, F, F, F, other, capitalized, T, T, T, F, F, T, F, F, T, T, other, other, F, F, F, F, F, T, F, F, F, T, other, number, 1
'in', F, F, F, F, F, F, F, F, F, F, other, punct, T, T, T, F, F, T, F, F, F, F, other, capitalized, T, T, T, F, F, T, F, F, T, T, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, 0
' ', T, T, T, F, F, T, F, F, F, F, other, capitalized, T, T, T, F, F, T, F, F, T, T, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, F, other, capitalized, 0
' ', T, T, T, F, F, T, F, F, T, T, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, F, other, capitalized, , F, F, F, F, F, F, F, F, F, F, other, other, 0
'Wonderland', F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, T, F, F, F, F, other, capitalized, , F, F, F, F, F, F, F, F, F, F, other, other, , F, F, F, F, F, F, F, F, F, F, other, other, 0
' ', F, F, F, F, F, T, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, 0
'"', , F, F, F, F, F, F, F, F, F, F, other, other, , F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
'Program', , F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, other, other, 0
'Evaluation', F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, other, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
'of', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, other, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
'Outcomes', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, other, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
'Based', F, F, T, F, F, F, F, F, T, F, other, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, conjunction, other, 0
'Orthotic', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, conjunction, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
'and', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, conjunction, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
'Prosthetic', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, conjunction, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, , F, F, F, F, F, F, F, F, F, F, other, other, 0
'Education', F, F, T, F, F, F, F, F, T, F, conjunction, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, , F, F, F, F, F, F, F, F, F, F, other, other, , F, F, F, F, F, F, F, F, F, F, other, other, 0
' ', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, 0
'"', , F, F, F, F, F, F, F, F, F, F, other, other, , F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, article, capitalized, F, F, F, F, F, F, F, F, F, F, other, AllCaps, 0
'The', , F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, article, capitalized, F, F, F, F, F, F, F, F, F, F, other, AllCaps, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
'PLA', F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, article, capitalized, F, F, F, F, F, F, F, F, F, F, other, AllCaps, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
'Navy's', F, F, F, F, F, F, F, F, F, F, article, capitalized, F, F, F, F, F, F, F, F, F, F, other, AllCaps, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, hyphen, punct, 0
'Build', F, F, F, F, F, F, F, F, F, F, other, AllCaps, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, T, F, F, F, F, F, T, F, other, other, 0
'-', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, T, F, F, F, F, F, T, F, other, other, F, F, T, F, F, F, F, F, T, F, conjunction, other, 0
'up', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, T, F, F, F, F, F, T, F, other, other, F, F, T, F, F, F, F, F, T, F, conjunction, other, F, F, F, F, F, F, F, F, F, F, other, AllCaps, 0
'and', F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, T, F, F, F, F, F, T, F, other, other, F, F, T, F, F, F, F, F, T, F, conjunction, other, F, F, F, F, F, F, F, F, F, F, other, AllCaps, F, F, F, F, F, F, F, F, F, F, hyphen, punct, 0
'ROK', F, F, T, F, F, F, F, F, T, F, other, other, F, F, T, F, F, F, F, F, T, F, conjunction, other, F, F, F, F, F, F, F, F, F, F, other, AllCaps, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, T, F, F, F, F, F, F, F, other, AllCaps, 0
'-', F, F, T, F, F, F, F, F, T, F, conjunction, other, F, F, F, F, F, F, F, F, F, F, other, AllCaps, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, T, F, F, F, F, F, F, F, other, AllCaps, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
'USN', F, F, F, F, F, F, F, F, F, F, other, AllCaps, F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, T, F, F, F, F, F, F, F, other, AllCaps, F, F, F, F, F, F, F, F, F, F, other, capitalized, , F, F, F, F, F, F, F, F, F, F, other, other, 0
'Cooperation', F, F, F, F, F, F, F, F, F, F, hyphen, punct, F, F, T, F, F, F, F, F, F, F, other, AllCaps, F, F, F, F, F, F, F, F, F, F, other, capitalized, , F, F, F, F, F, F, F, F, F, F, other, other, , F, F, F, F, F, F, F, F, F, F, other, other, 0
' ', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, T, F, F, F, T, other, number, F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, 0
'"', , F, F, F, F, F, F, F, F, F, F, other, other, , F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, T, T, F, F, F, F, F, F, T, other, other, 0
'This', , F, F, F, F, F, F, F, F, F, F, other, other, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, T, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, F, T, other, other, 0
'work', F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, T, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, F, F, other, other, 0
'was', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, T, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, T, F, other, other, 0
'supported', F, T, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, T, F, other, other, F, F, T, F, F, F, F, F, T, T, article, other, 0
'by', F, F, T, F, F, F, F, F, F, T, other, other, F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, T, F, other, other, F, F, T, F, F, F, F, F, T, T, article, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
'the', F, F, T, F, F, F, F, F, F, F, other, other, F, F, T, F, F, F, F, F, T, F, other, other, F, F, T, F, F, F, F, F, T, T, article, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, T, F, F, F, T, F, F, F, F, other, capitalized, 0
'Air', F, F, T, F, F, F, F, F, T, F, other, other, F, F, T, F, F, F, F, F, T, T, article, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, T, F, F, F, T, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
'Force', F, F, T, F, F, F, F, F, T, T, article, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, T, F, F, F, T, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, other, other, 0
'Office', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, T, F, F, F, T, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, other, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
'of', F, T, F, F, F, T, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, other, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, 0
'Scientific', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, T, F, F, F, F, F, T, F, other, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, punct, 0
'Research', F, F, T, F, F, F, F, F, T, F, other, other, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, AllCaps, 0
'(', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, AllCaps, , F, F, F, F, F, F, F, F, F, F, other, other, 0
'AFOSR', F, F, F, F, F, F, F, F, F, F, other, capitalized, F, F, F, F, F, F, F, F, F, F, other, punct, F, F, F, F, F, F, F, F, F, F, other, AllCaps, , F, F, F, F, F, F, F, F, F, F, other, other, , F, F, F, F, F, F, F, F, F, F, other, other, 0
